session_id,client_id,visit_date,visit_time,visit_number,utm_source,utm_medium,utm_campaign,utm_adcontent,utm_keyword,device_category,device_os,device_brand,device_model,device_screen_resolution,device_browser,geo_country,geo_city
9055700329191270084.1641375430.1641375430,2108444536.1641375428,2022-01-05,12:37:10,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,360x740,Chrome,Russia,Grozny
905589569625616431.1641377841.1641377841,210849002.1641377839,2022-01-05,13:17:21,1,CVoLfHiSYnQlpfwfKDvK,cpc,sORFTBvqnhWCekwPSNpw,,YrIWiFqBTwgAEoPpyDbU,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Moscow
9056780960140147890.1641394135.1641394135,2108696140.1638710450,2022-01-05,17:48:55,2,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,360x640,Chrome,Russia,Rostov-on-Don
9056841162699403510.1641378068.1641378068,2108710157.1641378038,2022-01-05,13:21:08,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,(not set),irgUsCCmRzqWmFVkhnsO,360x800,Chrome,Russia,Tula
9058221887310921456.1641414384.1641414395,2109031632.1641414384,2022-01-05,23:26:35,1,cmcShJXKZHuYlCvCpXZK,referral,yhWEanrxDSAcPHHkrasG,WIOzdJfwNfayjurbvIlV,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,428x926,Safari,Russia,Moscow
9058221887310921456.1641414420.1641414420,2109031632.1641414384,2022-01-05,23:27:00,2,AkfZclsURRGaMjXYdMmf,cpc,yhWEanrxDSAcPHHkrasG,WIOzdJfwNfayjurbvIlV,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,428x926,Safari,Russia,Moscow
9058221887310921456.1641414588.1641414588,2109031632.1641414384,2022-01-05,23:29:48,4,AkfZclsURRGaMjXYdMmf,cpc,yhWEanrxDSAcPHHkrasG,WIOzdJfwNfayjurbvIlV,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,428x926,Safari,Russia,Moscow
9059756019564250092.1641383056.1641383056,2109388825.1641382892,2022-01-05,14:44:16,1,sORFTBvqnhWCekwPSNpw,banner,UbsMmmrDEFnwCqrzceMX,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,412x915,Chrome,Russia,Grozny
9062038038767822301.1641375200.1641375200,2109920149.1641375197,2022-01-05,12:33:20,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,(not set),irgUsCCmRzqWmFVkhnsO,393x873,Chrome,Russia,Samara
90622127959754088.1641334119.1641334119,21099608.1641334120,2022-01-05,01:08:39,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,385x854,Chrome,Russia,Nizhny Novgorod
